Summary
metric,value
Total triads,9.0
Triad-event share (%),3.36
Triads (% of noteheads),1.52
Root-position triads (% of noteheads),0.51
Onset events,268.0
Adjusted notehead count,594.0

Detected Triads
measure,position,quality,inversion,root,bass,pitches,spellings
1,beat 1,minor,1,E,G,G5 B5 E6,"('B', 'E', 'G')"
5,beat 2 + eighth,minor,2,C,G,G4 C5 E♭5,"('C', 'E♭', 'G')"
6,beat 2,diminished,1,E,G,G4 B♭5 E6,"('B♭', 'E', 'G')"
16,beat 2 + dotted quarter,major,1,B♭,D,D4 F5 B♭5,"('B♭', 'D', 'F')"
21,beat 2,diminished,0,G,G,G3 D♭4 B♭5,"('B♭', 'D♭', 'G')"
21,beat 2 + quarter,diminished,0,F♯,F♯,F♯4 C5 A5,"('A', 'C', 'F♯')"
25,beat 1 + eighth,diminished,1,E,G,G3 B♭5 E6,"('B♭', 'E', 'G')"
27,beat 2,diminished,0,G,G,G3 B♭3 D♭4,"('B♭', 'D♭', 'G')"
30,beat 1 + eighth,minor,1,E,G,G3 B3 E5,"('B', 'E', 'G')"
